rank;member_id;member;points;eraID;eraName;guildgoods;activity_warnings;messages;gex_participation;gbg_participation;won_battles;guildmember
1;705849;lasherbob;9308231957;23;SASH;49320;0;459;14;30;1013964;1
2;2277993;Crusaderx;8387653179;23;SASH;27280;0;629;13;30;1386984;1
3;10593569;Badvok the Bold;7734932584;23;SASH;38615;0;78;13;30;923097;1
4;104779;VITORO;7047152156;23;SASH;21360;0;1;12;30;1525050;1
5;8622496;Waynes world1;6817383755;23;SASH;32210;0;343;15;30;1023799;1
6;45238;Frodoo;5883748302;23;SASH;28105;0;5;13;30;643110;1
7;4225910;Hadrian the Intrepid 121;5877476537;23;SASH;30690;0;88;13;30;845169;1
8;1758550;marco965;5266733832;23;SASH;38525;0;88;5;9;575443;1
9;1148549;mehdialone;5168224835;23;SASH;12555;5;36;13;30;881792;1
10;849603210;TSTT;5122996797;23;SASH;39875;0;214;16;30;564775;1
11;853267111;Kuniggsbog;4951291586;23;SASH;33615;0;1541;16;30;398496;1
12;1436378;Dn4lor;4846066087;23;SASH;41225;0;684;13;30;618165;1
13;1891201;edman4444;4721686436;23;SASH;34135;1;54;13;30;488869;1
14;6141929;Carra;4565591641;23;SASH;34590;0;1803;8;30;600941;1
15;4194345;becop;4107387668;23;SASH;16990;0;19;12;30;463658;1
16;852293256;Rolanddd;3989851480;23;SASH;24830;1;3;15;30;657671;1
17;850518321;alterdestiny;3969500874;23;SASH;25050;0;441;15;24;361970;1
18;853735377;MOMIS;3774829706;23;SASH;27460;0;46;7;11;400617;1
19;827787;pywackit;3621424866;23;SASH;21925;0;3;15;30;602240;1
20;2465641;=Alpha=Wolf=;3402836128;23;SASH;12255;0;31;13;30;528904;1
21;850307582;Rex Bellator;3333754224;22;SAT;17120;0;14;14;28;568012;1
22;849566070;Aspandiat;3281049645;22;SAT;38180;0;225;15;30;553585;1
23;1724508;cvetkovic;3231786795;23;SASH;14440;0;13;13;29;617260;1
24;849694740;Mournblade;2972074818;23;SASH;14555;0;4;0;2;513281;1
25;850938639;Green II;2955896447;23;SASH;21550;0;2;0;1;377441;1
26;40674;VFRMark.;2936456977;23;SASH;17240;0;509;0;3;412340;1
27;855031788;Blackcong;2910091315;23;SASH;27980;0;598;8;14;227554;1
28;850665098;Ellwinara;2701256430;23;SASH;29070;0;231;10;30;337639;1
29;7954450;Bloody Pastor;2645492573;14;FE;20120;0;511;0;2;970162;1
30;5374197;Pammy Norrie;2529029185;23;SASH;17710;5;50;14;30;393730;1
31;11899618;Master A;2477651180;23;SASH;12625;0;5;11;16;362762;1
32;9795849;Magnus the Terrible 439;2461238618;18;SAM;20840;0;99;15;30;741253;1
33;9574867;Salikas;2420073613;23;SASH;8645;0;1;6;11;327251;1
34;12992719;ChilliBeanz62;2365103952;22;SAT;21240;0;16;11;30;466916;1
35;854681998;Zodman;2323717484;21;SAJM;26690;0;609;16;29;344317;1
36;850445151;Swan76;2268358633;20;SAV;12605;0;50;15;30;484477;1
37;853197494;DaFunkyMonkey;2097253409;23;SASH;15145;0;45;0;2;213588;1
38;4749897;DutchTheIV;2055953410;23;SASH;13545;0;22;13;30;285939;1
39;1234051;Devils Deciple.;1990718358;22;SAT;5360;0;134;0;3;420159;1
40;5367654;King John of Ambler;1969634871;22;SAT;15260;0;45;15;30;352041;1
41;851598404;-Baba Yaga-;1947221613;21;SAJM;18280;0;1957;15;29;517591;1
42;850331824;Brocksta;1857976835;22;SAT;23845;0;68;14;29;532232;1
43;853659232;friendly;1496204239;19;SAAB;10225;0;7;2;4;332921;1
44;11482655;El Kabong;1475495425;22;SAT;14940;2;121;14;29;398322;1
45;854648420;Pollar;1401259812;22;SAT;20375;0;230;12;19;233852;1
46;851914808;Selene the Blessed 1233;1300173946;18;SAM;28995;0;205;14;23;351200;1
47;855546281;pForm;1234926624;22;SAT;21320;0;184;4;8;88979;1
48;854882618;CCCC123;1234688154;19;SAAB;11210;0;30;5;11;166139;1
49;851616738;MagicI;1203628593;18;SAM;16385;1;265;11;30;469466;1
50;851298155;willow324;1122819555;22;SAT;15940;0;5;14;30;298056;1
51;11442171;High Lord Timbum;1110151699;22;SAT;15180;0;117;1;4;216401;1
52;11245188;Bernini;1071673071;18;SAM;22845;0;66;13;29;380326;1
53;851513926;-=LEO=-;1019587755;14;FE;24125;0;311;0;3;408670;1
54;9762415;0p1ate;1013562489;16;OF;19390;0;371;15;30;659426;1
55;849612867;TINY HEROS;928624119;14;FE;22400;0;71;15;30;482884;1
56;854719448;ludwig2;817711995;21;SAJM;17985;0;0;2;7;126841;1
57;854719004;soldier00;709101053;22;SAT;10920;0;6;5;9;77150;1
58;851585890;SharpSabrina;682947679;23;SASH;10045;0;38;5;10;179761;1
59;13309306;Ser Arthur Dayne.;643637162;15;AF;10075;0;6;11;30;361012;1
60;12685645;Brudzilla;584810761;19;SAAB;10645;0;152;0;4;100439;1
61;854714000;sixtyodin;547082594;16;OF;6170;0;40;6;12;122358;1
62;3556826;peri1;502379612;14;FE;16305;0;10;1;3;116495;1
63;853106102;Brad Field of green;455920238;14;FE;9185;2;8;3;6;130621;1
64;11807816;Dpunk;413254787;5;HMA;15995;0;453;16;30;1085232;1
65;854554840;SirRobert Artur;365771810;17;VF;3855;0;0;2;8;93559;1
66;853109616;VixenQueen;332837076;14;FE;5405;0;21;2;4;126108;1
67;853797540;Odinn;327601870;16;OF;15155;0;12;3;6;89484;1
68;852945970;Rider on the Storm;310048146;9;PE;6425;0;9;0;2;151132;1
69;853520455;Phillip the Fair;300137995;10;ME;16325;0;45;13;25;125112;1
70;849380627;FastGunner;265539643;8;InA;14065;0;204;14;30;191862;1
71;12351572;Cliff59;237730887;14;FE;7550;0;92;3;6;52729;1
72;855640309;Claudius titus;235690738;17;VF;4125;0;4;0;3;49432;1
73;851800597;Meandmyself;211924053;6;LMA;9220;0;318;14;29;444456;1
74;5544177;michealscott123;159203120;14;FE;8560;0;306;2;7;80159;1
75;853564293;Waikis;18883686;5;HMA;5115;0;21;0;3;14133;1
